# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 2.500000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 2.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
#
#
#
# f [Hz] 	 hf [Hz^(-1/2)]
3.561832e-04    1.237391e-18
3.644823e-04    1.181698e-18
3.729747e-04    1.128512e-18
3.816651e-04    1.077722e-18
3.905577e-04    1.029219e-18
3.996578e-04    9.829005e-19
4.089697e-04    9.386686e-19
4.184987e-04    8.964288e-19
4.282498e-04    8.560912e-19
4.382280e-04    8.175709e-19
4.484387e-04    7.807861e-19
4.588874e-04    7.456581e-19
4.695794e-04    7.121132e-19
4.805206e-04    6.800793e-19
4.917167e-04    6.494893e-19
5.031738e-04    6.202773e-19
5.148976e-04    5.923827e-19
5.268949e-04    5.657446e-19
5.391715e-04    5.403076e-19
5.517341e-04    5.160177e-19
5.645896e-04    4.928227e-19
5.777444e-04    4.706741e-19
5.912059e-04    4.495243e-19
6.049810e-04    4.293287e-19
6.190771e-04    4.100443e-19
6.335016e-04    3.916302e-19
6.482622e-04    3.740474e-19
6.633666e-04    3.572588e-19
6.788231e-04    3.412282e-19
6.946397e-04    3.259220e-19
7.108249e-04    3.113075e-19
7.273870e-04    2.973540e-19
7.443352e-04    2.840315e-19
7.616783e-04    2.713119e-19
7.794252e-04    2.591683e-19
7.975859e-04    2.475747e-19
8.161697e-04    2.365066e-19
8.351864e-04    2.259406e-19
8.546462e-04    2.158542e-19
8.745595e-04    2.062259e-19
8.949368e-04    1.970353e-19
9.157887e-04    1.882630e-19
9.371265e-04    1.798903e-19
9.589617e-04    1.718993e-19
9.813056e-04    1.642732e-19
1.004170e-03    1.569958e-19
1.027567e-03    1.500516e-19
1.051509e-03    1.434257e-19
1.076010e-03    1.371043e-19
1.101081e-03    1.310738e-19
1.126736e-03    1.253214e-19
1.152989e-03    1.198348e-19
1.179853e-03    1.146025e-19
1.207344e-03    1.096133e-19
1.235475e-03    1.048564e-19
1.264262e-03    1.003219e-19
1.293719e-03    9.600005e-20
1.323863e-03    9.188159e-20
1.354709e-03    8.795775e-20
1.386273e-03    8.422012e-20
1.418573e-03    8.066070e-20
1.451626e-03    7.727184e-20
1.485449e-03    7.404626e-20
1.520060e-03    7.097700e-20
1.555477e-03    6.805743e-20
1.591720e-03    6.528118e-20
1.628807e-03    6.264223e-20
1.666758e-03    6.013477e-20
1.705594e-03    5.775330e-20
1.745334e-03    5.549253e-20
1.786000e-03    5.334742e-20
1.827614e-03    5.131313e-20
1.870198e-03    4.938503e-20
1.913773e-03    4.755868e-20
1.958364e-03    4.582982e-20
2.003994e-03    4.419440e-20
2.050688e-03    4.264839e-20
2.098468e-03    4.118815e-20
2.147363e-03    3.980991e-20
2.197395e-03    3.851025e-20
2.248596e-03    3.728567e-20
2.300987e-03    3.613298e-20
2.354600e-03    3.504893e-20
2.409463e-03    3.403043e-20
2.465604e-03    3.307451e-20
2.523051e-03    3.217831e-20
2.581840e-03    3.133889e-20
2.641995e-03    3.055363e-20
2.703555e-03    2.981975e-20
2.766546e-03    2.913474e-20
2.831007e-03    2.849602e-20
2.896970e-03    2.790118e-20
2.964469e-03    2.734783e-20
3.033541e-03    2.683368e-20
3.104224e-03    2.635650e-20
3.176552e-03    2.591417e-20
3.250565e-03    2.550461e-20
3.326303e-03    2.512582e-20
3.403807e-03    2.477590e-20
3.483114e-03    2.445304e-20
3.564271e-03    2.415548e-20
3.647319e-03    2.388156e-20
3.732301e-03    2.362970e-20
3.819263e-03    2.339841e-20
3.908253e-03    2.318626e-20
3.999315e-03    2.299192e-20
4.092499e-03    2.281413e-20
4.187855e-03    2.265171e-20
4.285431e-03    2.250354e-20
4.385282e-03    2.236860e-20
4.487460e-03    2.224590e-20
4.592017e-03    2.213456e-20
4.699012e-03    2.203373e-20
4.808499e-03    2.194263e-20
4.920536e-03    2.186055e-20
5.035185e-03    2.178682e-20
5.152505e-03    2.172083e-20
5.272558e-03    2.166201e-20
5.395408e-03    2.160985e-20
5.521122e-03    2.156387e-20
5.649763e-03    2.152363e-20
5.781403e-03    2.148875e-20
5.916109e-03    2.145886e-20
6.053955e-03    2.143362e-20
6.195011e-03    2.141276e-20
6.339356e-03    2.139599e-20
6.487064e-03    2.138307e-20
6.638212e-03    2.137380e-20
6.792882e-03    2.136798e-20
6.951155e-03    2.136544e-20
7.113118e-03    2.136603e-20
7.278853e-03    2.136963e-20
7.448452e-03    2.137611e-20
7.622001e-03    2.138539e-20
7.799592e-03    2.139738e-20
7.981323e-03    2.141202e-20
8.167287e-03    2.142927e-20
8.357586e-03    2.144909e-20
8.552317e-03    2.147146e-20
8.751586e-03    2.149636e-20
8.955498e-03    2.152380e-20
9.164160e-03    2.155379e-20
9.377686e-03    2.158635e-20
9.596187e-03    2.162154e-20
9.819778e-03    2.165938e-20
1.004858e-02    2.169994e-20
1.028271e-02    2.174329e-20
1.052230e-02    2.178951e-20
1.076747e-02    2.183869e-20
1.101835e-02    2.189093e-20
1.127508e-02    2.194634e-20
1.153779e-02    2.200505e-20
1.180662e-02    2.206720e-20
1.208171e-02    2.213294e-20
1.236321e-02    2.220242e-20
1.265128e-02    2.227583e-20
1.294605e-02    2.235335e-20
1.324770e-02    2.243520e-20
1.355636e-02    2.252160e-20
1.387223e-02    2.261277e-20
1.419545e-02    2.270898e-20
1.452621e-02    2.281051e-20
1.486467e-02    2.291765e-20
1.521101e-02    2.303073e-20
1.556543e-02    2.315008e-20
1.592811e-02    2.327607e-20
1.629923e-02    2.340910e-20
1.667900e-02    2.354961e-20
1.706762e-02    2.369804e-20
1.746530e-02    2.385490e-20
1.787224e-02    2.402072e-20
1.828866e-02    2.419607e-20
1.871479e-02    2.438158e-20
1.915084e-02    2.457794e-20
1.959706e-02    2.478585e-20
2.005368e-02    2.500612e-20
2.052093e-02    2.523961e-20
2.099905e-02    2.548724e-20
2.148833e-02    2.575004e-20
2.198901e-02    2.602910e-20
2.250136e-02    2.632564e-20
2.302563e-02    2.664097e-20
2.356214e-02    2.697654e-20
2.411113e-02    2.733392e-20
2.467293e-02    2.771484e-20
2.524780e-02    2.812122e-20
2.583607e-02    2.855515e-20
2.643806e-02    2.901895e-20
2.705406e-02    2.951517e-20
2.768443e-02    3.004664e-20
2.832946e-02    3.061650e-20
2.898955e-02    3.122824e-20
2.966500e-02    3.188572e-20
3.035619e-02    3.259326e-20
3.106350e-02    3.335566e-20
3.178727e-02    3.417829e-20
3.252792e-02    3.506714e-20
3.328582e-02    3.602891e-20
3.406137e-02    3.707107e-20
3.485502e-02    3.820200e-20
3.566714e-02    3.943100e-20
3.649818e-02    4.076841e-20
3.734858e-02    4.222571e-20
3.821880e-02    4.381543e-20
3.910930e-02    4.555122e-20
4.002055e-02    4.744763e-20
4.095303e-02    4.951982e-20
4.190724e-02    5.178283e-20
4.288367e-02    5.425067e-20
4.388286e-02    5.693454e-20
4.490534e-02    5.984026e-20
4.595162e-02    6.296447e-20
4.702229e-02    6.628940e-20
4.811793e-02    6.977597e-20
4.923906e-02    7.335589e-20
5.038634e-02    7.692418e-20
5.156034e-02    8.033498e-20
5.276169e-02    8.340560e-20
5.399105e-02    8.593330e-20
5.524903e-02    8.772655e-20
5.653634e-02    8.864499e-20
5.785363e-02    8.863445e-20
5.920163e-02    8.774154e-20
6.058103e-02    8.610083e-20
6.199256e-02    8.390124e-20
6.343698e-02    8.134676e-20
6.491507e-02    7.862522e-20
6.642758e-02    7.589091e-20
6.797535e-02    7.325981e-20
6.955917e-02    7.081292e-20
7.117990e-02    6.860321e-20
7.283840e-02    6.666335e-20
7.453553e-02    6.501248e-20
7.627220e-02    6.366164e-20
7.804936e-02    6.261797e-20
7.986791e-02    6.188774e-20
8.172883e-02    6.147860e-20
8.363311e-02    6.140138e-20
8.558177e-02    6.167145e-20
8.757581e-02    6.231002e-20
8.961632e-02    6.334521e-20
9.170440e-02    6.481296e-20
9.384110e-02    6.675773e-20
9.602760e-02    6.923224e-20
9.826505e-02    7.229567e-20
1.005546e-01    7.600850e-20
1.028976e-01    8.042109e-20
1.052951e-01    8.555143e-20
1.077484e-01    9.134666e-20
1.102590e-01    9.762462e-20
1.128280e-01    1.040060e-19
1.154569e-01    1.098775e-19
1.181470e-01    1.144655e-19
1.208999e-01    1.170769e-19
1.237168e-01    1.174210e-19
1.265994e-01    1.157712e-19
1.295492e-01    1.128236e-19
1.325677e-01    1.093901e-19
1.356565e-01    1.061626e-19
1.388173e-01    1.036357e-19
1.420518e-01    1.021390e-19
1.453616e-01    1.019047e-19
1.487485e-01    1.031316e-19
1.522143e-01    1.060331e-19
1.557609e-01    1.108663e-19
1.593902e-01    1.179317e-19
1.631039e-01    1.275116e-19
1.669043e-01    1.396621e-19
1.707931e-01    1.537257e-19
1.747726e-01    1.675671e-19
1.788448e-01    1.773413e-19
1.830119e-01    1.795007e-19
1.872761e-01    1.741312e-19
1.916396e-01    1.648909e-19
1.960674e-01    1.558072e-19
2.005975e-01    1.491713e-19
2.052324e-01    1.460874e-19
2.099743e-01    1.471270e-19
2.148256e-01    1.528064e-19
2.197892e-01    1.637384e-19
2.248674e-01    1.803305e-19
2.300630e-01    2.014867e-19
2.353785e-01    2.218857e-19
2.408169e-01    2.314774e-19
2.463810e-01    2.249429e-19
2.520736e-01    2.093754e-19
2.578977e-01    1.948307e-19
2.638563e-01    1.866269e-19
2.699528e-01    1.867524e-19
2.761901e-01    1.964715e-19
2.825713e-01    2.172119e-19
2.891002e-01    2.486933e-19
2.957797e-01    2.813092e-19
3.026138e-01    2.915004e-19
3.096055e-01    2.722354e-19
3.167591e-01    2.464651e-19
3.240778e-01    2.313400e-19
3.315655e-01    2.319685e-19
3.392262e-01    2.506157e-19
3.470640e-01    2.884792e-19
3.550829e-01    3.332900e-19
3.632872e-01    3.435232e-19
3.716807e-01    3.106447e-19
3.802684e-01    2.785477e-19
3.854081e-01    2.699334e-19
3.906171e-01    2.705163e-19
3.958964e-01    2.810614e-19
4.012470e-01    3.024353e-19
4.066701e-01    3.345340e-19
4.121665e-01    3.725283e-19
4.177372e-01    4.014536e-19
4.233830e-01    4.028386e-19
4.291054e-01    3.782129e-19
4.349049e-01    3.469928e-19
4.407828e-01    3.236146e-19
4.467403e-01    3.132945e-19
4.527781e-01    3.175731e-19
4.588977e-01    3.376194e-19
4.650998e-01    3.740039e-19
4.713860e-01    4.213213e-19
4.777571e-01    4.574247e-19
4.842140e-01    4.533389e-19
4.907586e-01    4.164484e-19
4.973914e-01    3.782774e-19
5.041138e-01    3.560271e-19
5.109273e-01    3.542106e-19
5.178326e-01    3.746247e-19
5.248314e-01    4.186222e-19
5.319248e-01    4.788649e-19
5.391141e-01    5.195193e-19
5.464003e-01    5.004486e-19
5.537852e-01    4.487938e-19
5.612699e-01    4.089977e-19
5.688558e-01    3.963707e-19
5.743108e-01    4.057585e-19
5.798181e-01    4.314054e-19
5.853782e-01    4.732222e-19
5.909916e-01    5.253115e-19
5.966588e-01    5.677976e-19
6.023804e-01    5.728929e-19
6.081570e-01    5.386846e-19
6.139889e-01    4.922762e-19
6.198766e-01    4.558344e-19
6.258209e-01    4.374747e-19
6.318221e-01    4.391963e-19
6.378809e-01    4.621900e-19
6.439978e-01    5.072828e-19
6.501735e-01    5.693671e-19
6.564081e-01    6.239925e-19
6.627026e-01    6.307687e-19
6.690577e-01    5.865717e-19
6.754734e-01    5.311567e-19
6.819508e-01    4.927434e-19
6.884904e-01    4.796044e-19
6.950926e-01    4.936452e-19
7.017582e-01    5.363250e-19
7.084875e-01    6.046374e-19
7.152815e-01    6.732607e-19
7.221406e-01    6.875300e-19
7.290655e-01    6.354594e-19
7.360569e-01    5.701606e-19
7.431153e-01    5.285985e-19
7.502412e-01    5.200904e-19
7.574356e-01    5.468634e-19
7.630694e-01    5.930380e-19
7.687452e-01    6.577679e-19
7.744634e-01    7.226236e-19
7.802239e-01    7.503636e-19
7.860272e-01    7.205162e-19
7.918738e-01    6.601208e-19
7.977639e-01    6.049995e-19
8.036978e-01    5.714207e-19
8.096757e-01    5.633982e-19
8.156981e-01    5.821160e-19
8.217655e-01    6.286434e-19
8.278778e-01    6.999378e-19
8.340357e-01    7.751213e-19
8.402394e-01    8.064960e-19
8.464891e-01    7.676149e-19
8.527854e-01    6.962864e-19
8.591286e-01    6.367028e-19
8.655188e-01    6.057930e-19
8.719566e-01    6.069940e-19
8.784424e-01    6.417803e-19
8.849763e-01    7.104557e-19
8.915589e-01    8.002447e-19
8.981905e-01    8.622337e-19
9.048713e-01    8.405943e-19
9.116018e-01    7.620586e-19
9.183824e-01    6.895533e-19
9.252134e-01    6.508836e-19
9.320953e-01    6.515315e-19
9.390284e-01    6.932776e-19
9.460129e-01    7.754733e-19
9.517622e-01    8.586416e-19
9.575464e-01    9.165830e-19
9.633659e-01    9.069149e-19
9.692205e-01    8.405068e-19
9.751108e-01    7.650076e-19
9.810370e-01    7.106895e-19
9.869991e-01    6.866154e-19
9.929975e-01    6.945571e-19
9.990325e-01    7.357377e-19
1.005104e+00    8.097955e-19
1.011212e+00    9.038414e-19
1.017358e+00    9.734170e-19
1.023541e+00    9.635666e-19
1.029761e+00    8.870100e-19
1.036019e+00    8.035371e-19
1.042316e+00    7.480211e-19
1.048650e+00    7.294691e-19
1.055023e+00    7.495967e-19
1.061435e+00    8.096883e-19
1.067886e+00    9.051926e-19
1.074376e+00    1.003979e-18
1.080905e+00    1.034667e-18
1.087474e+00    9.692496e-19
1.094083e+00    8.717868e-19
1.100732e+00    7.993965e-19
1.107422e+00    7.694596e-19
1.114152e+00    7.848261e-19
1.120923e+00    8.471449e-19
1.127736e+00    9.522001e-19
1.134589e+00    1.062468e-18
1.140419e+00    1.094576e-18
1.146279e+00    1.042187e-18
1.152169e+00    9.504800e-19
1.158089e+00    8.705680e-19
1.164040e+00    8.235317e-19
1.170021e+00    8.138997e-19
1.176033e+00    8.428318e-19
1.182076e+00    9.112177e-19
1.188150e+00    1.013026e-18
1.194255e+00    1.115443e-18
1.200392e+00    1.150881e-18
1.206560e+00    1.089294e-18
1.212760e+00    9.868689e-19
1.218991e+00    9.025846e-19
1.225255e+00    8.580580e-19
1.231550e+00    8.572443e-19
1.237879e+00    9.015079e-19
1.244239e+00    9.909148e-19
1.250633e+00    1.110457e-18
1.257059e+00    1.201606e-18
1.263518e+00    1.187265e-18
1.270011e+00    1.085701e-18
1.276536e+00    9.795567e-19
1.283095e+00    9.132703e-19
1.289688e+00    8.968098e-19
1.296316e+00    9.319497e-19
1.302976e+00    1.019580e-18
1.309671e+00    1.147204e-18
1.316401e+00    1.253838e-18
1.323165e+00    1.245190e-18
1.329055e+00    1.151284e-18
1.334970e+00    1.045924e-18
1.340912e+00    9.705353e-19
1.346881e+00    9.369721e-19
1.352876e+00    9.471894e-19
1.358898e+00    1.002413e-18
1.364946e+00    1.101560e-18
1.371022e+00    1.226455e-18
1.377124e+00    1.317245e-18
1.383254e+00    1.301917e-18
1.389411e+00    1.198124e-18
1.395595e+00    1.084733e-18
1.401807e+00    1.007877e-18
1.408046e+00    9.794051e-19
1.414314e+00    1.001169e-18
1.420609e+00    1.074443e-18
1.426932e+00    1.194487e-18
1.433283e+00    1.325900e-18
1.439663e+00    1.382196e-18
1.446071e+00    1.311896e-18
1.452507e+00    1.183917e-18
1.458973e+00    1.078518e-18
1.465467e+00    1.024616e-18
1.471989e+00    1.026989e-18
1.478541e+00    1.087169e-18
1.485122e+00    1.203876e-18
1.491733e+00    1.350599e-18
1.498372e+00    1.439313e-18
1.505042e+00    1.386379e-18
1.511741e+00    1.250359e-18
1.517676e+00    1.142916e-18
1.523635e+00    1.078656e-18
1.529617e+00    1.063499e-18
1.535622e+00    1.098624e-18
1.541651e+00    1.184895e-18
1.547704e+00    1.314737e-18
1.553780e+00    1.447291e-18
1.559880e+00    1.496651e-18
1.566005e+00    1.420420e-18
1.572153e+00    1.287505e-18
1.578325e+00    1.175177e-18
1.584522e+00    1.112849e-18
1.590743e+00    1.105828e-18
1.596989e+00    1.155415e-18
1.603258e+00    1.261850e-18
