pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 181433,d,Radial Velocity,2172.,3.,0.48,0.54,26.15,0.78,2014-07-23,38.24
HD 181433,b,Radial Velocity,9.3743,0.08,0.396,0.024,26.15,0.78,2014-07-23,38.24
WD 0806-661,b,Imaging,,2500.,,7.5,19.2,0.62,2014-05-14,
HD 175607,b,Radial Velocity,29.01,,0.11,0.02825,45.27,0.71,2015-11-19,22.09
HD 7199,b,Radial Velocity,615.,1.36,0.19,0.29,35.88,0.89,2014-05-14,27.87
HD 4308,b,Radial Velocity,15.56,0.115,0.,0.0442,21.85,0.83,2014-12-03,45.76
HIP 63242,b,Radial Velocity,124.6,0.565,0.23,9.18,149.25,1.54,2014-05-14,6.7
WASP-119,b,Transit,2.49979,0.0363,0.058,1.23,333.,1.02,2016-05-05,
HD 25171,b,Radial Velocity,1845.,3.02,0.08,0.95,56.05,1.09,2014-05-14,17.84
HIP 107773,b,Radial Velocity,144.3,0.72,0.09,1.98,,2.42,2015-06-04,9.65
HD 190984,b,Radial Velocity,4885.,5.5,0.57,3.1,189.39,0.91,2014-08-21,5.28
WASP-100,b,Transit,2.849375,0.0457,0.,2.03,,1.57,2014-05-14,
HD 108147,b,Radial Velocity,10.8985,0.102,0.53,0.261,38.56,1.27,2014-05-14,25.93
WASP-62,b,Transit,4.411953,0.0567,0.21,0.57,160.,1.25,2014-05-14,
HD 65216,b,Radial Velocity,572.4,1.3,0.,1.26,35.59,0.92,2014-05-14,28.1
HD 65216,c,Radial Velocity,152.6,0.54,0.02,0.17,35.59,0.92,2014-05-14,28.1
HATS-35,b,Transit,1.8209993,0.03199,0.306,1.222,557.,1.32,2016-12-01,
HD 219077,b,Radial Velocity,5501.,6.22,0.77,10.39,29.2,1.05,2014-05-14,34.25
Proxima Cen,b,Radial Velocity,11.186,0.0485,0.35,0.004,1.29,0.12,2016-08-25,772.33
HATS-34,b,Transit,2.1061607,0.03166,0.108,0.941,532.,0.95,2016-12-01,
OGLE-TR-211,b,Transit,3.67724,0.051,0.,1.03,,1.33,2014-05-14,
OGLE-TR-132,b,Transit,1.689868,0.03035,,1.18,2500.,1.3,2014-10-29,
NGC 4349 127,b,Radial Velocity,677.8,2.38,0.19,19.8,2200.,3.9,2015-05-14,
HD 147018,c,Radial Velocity,1008.,1.922,0.133,6.56,42.96,0.93,2014-05-14,23.28
HD 147018,b,Radial Velocity,44.236,0.2388,0.4686,2.12,42.96,0.93,2014-05-14,23.28
HD 224538,b,Radial Velocity,1189.1,2.28,0.464,5.97,77.76,1.34,2016-11-10,12.86
OGLE-TR-113,b,Transit,1.4324752,0.02289,,1.26,600.,0.78,2014-05-14,
OGLE-TR-111,b,Transit,4.0144463,0.0473,,,,0.85,2016-02-25,
OGLE2-TR-L9,b,Transit,2.4855335,0.0308,,4.5,,1.52,2014-05-14,
OGLE-TR-182,b,Transit,3.9791,0.051,0.,1.01,,1.14,2014-05-14,
HD 196050,b,Radial Velocity,1378.,2.54,0.228,2.9,46.93,1.15,2014-08-21,21.31
HD 10180,f,Radial Velocity,122.744,0.4929,0.119,0.0722,39.02,1.06,2015-06-25,
HD 10180,e,Radial Velocity,49.748,0.2699,0.051,0.0805,39.02,1.06,2015-06-25,
HD 10180,d,Radial Velocity,16.357,0.12859,0.131,0.0378,39.02,1.06,2015-06-25,
HD 10180,c,Radial Velocity,5.75969,0.06412,0.073,0.0416,39.02,1.06,2015-06-25,
HD 10180,g,Radial Velocity,604.67,1.427,0.263,0.0732,39.02,1.06,2015-06-25,
HD 10180,h,Radial Velocity,2205.,3.381,0.095,0.2066,39.02,1.06,2015-06-25,
HR 2562,b,Imaging,,20.3,,30.,33.63,1.3,2016-09-08,
HD 142415,b,Radial Velocity,386.3,1.05,0.5,1.62,34.57,1.03,2014-05-14,28.93
HD 23127,b,Radial Velocity,1214.,2.4,0.44,1.5,89.13,1.13,2014-11-19,11.22
HD 40307,f,Radial Velocity,51.76,0.247,0.02,0.0164,12.83,0.77,2014-05-14,77.95
HD 40307,b,Radial Velocity,4.3123,0.0468,0.2,0.0126,12.83,0.77,2014-05-14,77.95
HD 40307,g,Radial Velocity,197.8,0.6,0.29,0.0223,12.83,0.77,2014-05-14,77.95
HD 40307,c,Radial Velocity,9.6184,0.0799,0.06,0.0208,12.83,0.77,2014-05-14,77.95
HD 40307,d,Radial Velocity,20.432,0.1321,0.07,0.0299,12.83,0.77,2014-05-14,77.95
HATS-30,b,Transit,3.1743516,0.04354,0.096,0.706,339.,1.09,2016-06-09,
HD 27894,b,Radial Velocity,17.9904,0.125,0.0486,0.645,42.37,0.8,2015-04-16,23.6
HD 27442,b,Radial Velocity,428.1,1.271,0.06,1.56,18.24,1.23,2014-07-23,54.84
HD 102117,b,Radial Velocity,20.8133,0.1532,0.121,0.172,42.,1.11,2014-05-14,23.81
HIP 65891,b,Radial Velocity,1084.5,2.81,0.13,6.,,2.5,2015-06-04,7.35
HD 221287,b,Radial Velocity,456.1,1.25,0.08,3.09,52.88,1.25,2014-05-14,18.91
WASP-73,b,Transit,4.08722,0.05512,0.,1.88,,1.34,2014-05-14,
AB Pic,b,Imaging,,260.,,13.5,45.52,,2014-05-14,21.97
HD 30177,c,Radial Velocity,11613.,9.89,0.22,7.6,54.71,0.99,2016-12-21,18.28
HD 30177,b,Radial Velocity,2524.4,3.58,0.184,8.08,54.71,0.99,2016-12-21,18.28
HD 101930,b,Radial Velocity,70.46,0.302,0.11,0.3,30.5,0.74,2014-05-14,32.79
HD 154857,c,Radial Velocity,3452.,5.36,0.06,2.58,68.54,1.72,2014-05-14,14.59
HD 154857,b,Radial Velocity,408.6,1.291,0.46,2.24,68.54,1.72,2014-05-14,14.59
HD 2039,b,Radial Velocity,1120.,2.23,0.715,6.11,89.85,1.17,2014-08-21,11.13
HD 215497,b,Radial Velocity,3.93404,0.047,0.16,0.02,43.53,0.87,2014-11-19,22.97
HD 215497,c,Radial Velocity,567.94,1.282,0.49,0.33,43.53,0.87,2014-11-19,22.97
HD 154672,b,Radial Velocity,163.967,0.59,0.6,4.73,64.77,1.08,2016-11-10,15.44
HD 121504,b,Radial Velocity,63.33,0.33,0.03,1.22,44.37,1.18,2014-05-14,22.54
HD 106906,b,Imaging,,650.,,11.,91.83,1.5,2014-05-14,10.89
WASP-46,b,Transit,1.43036763,0.02335,,1.91,,0.83,2015-12-03,
WASP-97,b,Transit,2.07276,0.03303,0.,1.32,,1.12,2014-05-14,
HATS-33,b,Transit,2.5495551,0.03727,0.08,1.192,255.,1.06,2016-12-01,
HATS-29,b,Transit,4.6058749,0.05475,0.158,0.653,351.,1.03,2016-06-09,
HIP 8541,b,Radial Velocity,1560.2,2.8,0.16,5.5,168.63,1.17,2016-03-17,5.93
HD 63765,b,Radial Velocity,358.,0.94,0.24,0.64,32.62,,2014-05-14,30.66
HD 10647,b,Radial Velocity,989.2,2.015,0.15,0.94,17.35,1.11,2014-05-14,57.63
GJ 163,c,Radial Velocity,25.63058,0.1254,0.099,0.0214,14.97,0.4,2017-01-26,66.82
GJ 163,d,Radial Velocity,603.95116,1.0304,0.373,0.0925,14.97,0.4,2017-01-26,66.82
GJ 163,b,Radial Velocity,8.63182,0.0607,0.073,0.03335,14.97,0.4,2017-01-26,66.82
HD 23079,b,Radial Velocity,730.6,1.596,0.102,2.45,34.6,1.01,2014-07-23,28.9
HD 113538,b,Radial Velocity,663.2,1.24,0.14,0.36,15.9,0.58,2015-01-08,63.03
HD 113538,c,Radial Velocity,1818.,2.44,0.2,0.93,15.9,0.58,2015-01-08,63.03
KELT-15,b,Transit,3.329441,0.04613,0.,0.91,291.,1.18,2016-03-17,
HD 160691,b,Radial Velocity,643.25,1.497,0.128,1.08,15.28,1.08,2014-08-21,65.46
HD 160691,e,Radial Velocity,310.55,0.921,0.0666,0.5219,15.28,1.08,2014-08-21,65.46
HD 160691,d,Radial Velocity,9.6386,0.09094,0.172,0.03321,15.28,1.08,2014-08-21,65.46
HD 160691,c,Radial Velocity,4205.8,5.235,0.0985,1.814,15.28,1.08,2014-08-21,65.46
GJ 676 A,d,Radial Velocity,3.6005,,0.262,0.014,16.9,0.71,2016-09-29,59.3
GJ 676 A,b,Radial Velocity,1051.1,1.812,0.323,6.7,16.9,0.71,2016-09-29,59.3
GJ 676 A,e,Radial Velocity,35.39,,0.125,0.025,16.9,0.71,2016-09-29,59.3
GJ 676 A,c,Radial Velocity,7337.,6.6,,6.8,16.9,0.71,2016-09-29,59.3
bet Pic,b,Imaging,7665.,9.1,0.08,,19.28,1.76,2015-08-13,51.87
GJ 86,b,Radial Velocity,15.76491,0.113,0.0416,3.91,10.91,0.77,2014-05-14,91.63
HR 810,b,Radial Velocity,312.,0.91,0.15,2.13,17.24,,2015-04-30,58.
HD 28254,b,Radial Velocity,1116.,2.15,0.81,1.16,54.7,1.06,2014-11-19,18.29
HD 103197,b,Radial Velocity,47.84,0.249,0.,0.098,49.33,0.9,2014-05-14,20.27
WASP-117,b,Transit,10.02165,0.09459,0.302,0.2755,,1.13,2014-08-27,
HD 564,b,Radial Velocity,492.3,1.2,0.096,0.33,53.6,0.96,2015-01-08,18.64
WASP-99,b,Transit,5.75251,0.0717,0.,2.78,,1.48,2014-05-14,
HD 330075,b,Radial Velocity,3.38773,0.039,0.,0.62,50.2,0.7,2014-11-19,19.92
HD 85390,b,Radial Velocity,788.,1.52,0.41,0.132,33.96,0.76,2014-05-14,29.45
HD 213240,b,Radial Velocity,951.,2.03,0.45,4.5,40.75,,2015-04-30,24.54
DENIS-P J082303.1-491201,b,Astrometry,246.36,0.36,0.345,28.5,20.77,0.07,2014-05-14,48.16
HATS-28,b,Transit,3.1810781,0.04131,0.202,0.672,521.,0.93,2016-06-09,
HD 142,c,Radial Velocity,6005.,6.8,0.21,5.3,25.64,1.23,2014-08-21,39.
HD 142,b,Radial Velocity,349.7,1.02,0.17,1.25,25.64,1.23,2014-08-21,39.
GJ 832,c,Radial Velocity,35.68,0.163,0.18,0.017,4.94,0.45,2014-06-25,202.53
GJ 832,b,Radial Velocity,3657.,3.56,0.08,0.68,4.94,0.45,2014-06-25,202.53
RR Cae,b,Eclipse Timing Variations,4343.5,5.3,0.,4.2,,0.44,2015-08-27,
HD 216435,b,Radial Velocity,1311.,2.56,0.07,1.26,33.29,1.3,2014-07-23,30.04
HD 156411,b,Radial Velocity,842.2,1.88,0.22,0.74,55.1,1.25,2014-06-25,18.15
HD 48265,b,Radial Velocity,780.3,1.81,0.08,1.47,85.4,1.28,2016-11-10,11.71
WASP-88,b,Transit,4.954,0.06431,0.,0.56,,1.45,2014-05-14,
HD 41004 B,b,Radial Velocity,1.3283,,0.081,18.37,43.03,0.4,2014-12-03,23.24
HD 41004 A,b,Radial Velocity,963.,,0.74,2.54,43.03,0.7,2014-12-03,23.24
WASP-95,b,Transit,2.184673,0.03416,0.,1.13,,1.11,2014-05-14,
HATS-17,b,Transit,16.254611,0.1308,0.029,1.338,339.,1.13,2016-09-15,
WASP-96,b,Transit,3.4252602,0.0453,0.,0.48,,1.06,2014-05-14,
HD 117618,b,Radial Velocity,25.827,0.176,0.42,0.178,38.02,1.08,2014-05-14,26.3
GJ 1132,b,Transit,1.62893,,0.,0.0051,12.04,0.18,2015-11-12,83.07
KELT-10,b,Transit,4.1662739,0.0525,,0.679,183.,1.11,2016-04-28,
GJ 674,b,Radial Velocity,4.6938,0.039,0.2,0.035,4.54,0.35,2014-05-14,220.43
HATS-27,b,Transit,4.637038,0.0611,0.581,0.53,840.,1.42,2016-06-09,
HIP 70849,b,Radial Velocity,17337.5,20.25,0.715,9.,23.98,,2014-05-14,41.71
HD 152079,b,Radial Velocity,2899.,3.98,0.52,2.18,83.33,1.1,2016-11-10,12.
HD 148156,b,Radial Velocity,1027.,2.45,0.52,0.85,53.05,1.22,2014-05-14,18.85
WASP-132,b,Transit,7.133521,0.067,0.,0.41,120.,0.8,2016-12-01,
WASP-120,b,Transit,3.6112706,0.0514,0.057,4.85,437.,1.39,2016-06-03,
WASP-18,b,Transit,0.94145299,0.02026,0.0092,10.43,105.49,1.28,2014-05-14,9.48
WASP-19,b,Transit,0.78883899,0.01634,0.002,1.069,250.,0.9,2016-08-18,
Kapteyn,c,Radial Velocity,121.54,0.311,0.23,0.022,3.92,0.28,2014-06-04,255.26
HD 143361,b,Radial Velocity,1046.2,1.98,0.193,3.48,65.66,0.95,2016-11-10,15.23
HD 85512,b,Radial Velocity,58.43,0.26,0.11,0.011,11.15,0.69,2015-04-16,89.67
HD 153950,b,Radial Velocity,499.4,1.28,0.34,2.73,51.87,1.12,2014-05-14,19.28
HD 83443,b,Radial Velocity,2.985698,0.0406,0.012,0.398,43.53,0.9,2014-05-14,22.97
HD 159868,b,Radial Velocity,1178.4,2.25,0.01,2.1,52.72,1.09,2014-05-14,18.97
HD 159868,c,Radial Velocity,352.3,1.,0.15,0.73,52.72,1.09,2014-05-14,18.97
HD 20794,b,Radial Velocity,18.315,0.1207,0.,0.0085,6.06,0.7,2015-08-27,165.02
HD 20794,d,Radial Velocity,90.309,0.3499,0.,0.015,6.06,0.7,2015-08-27,165.02
HD 20794,c,Radial Velocity,40.114,0.2036,0.,0.0076,6.06,0.7,2015-08-27,165.02
Lupus-TR-3,b,Transit,3.91405,0.0464,0.,0.81,2000.,0.87,2014-05-14,
WASP-23,b,Transit,2.9444256,0.0376,0.062,0.884,,0.78,2014-05-14,
HD 166724,b,Radial Velocity,5144.,5.42,0.734,3.53,42.99,0.81,2014-05-14,23.26
WASP-130,b,Transit,11.55098,0.1012,0.,1.23,180.,1.04,2016-12-01,
KELT-14,b,Transit,1.7100566,0.03005,0.,1.284,266.,1.24,2016-06-03,
WASP-42,b,Transit,4.9816819,0.0561,,0.527,160.,0.95,2016-02-25,
WASP-129,b,Transit,5.748145,0.0628,0.096,1.,246.,1.,2016-05-05,
WASP-4,b,Transit,1.33823251,,0.,1.216,300.,0.89,2015-08-27,
HD 27631,b,Radial Velocity,2208.,3.25,0.12,1.45,44.54,0.94,2014-05-14,22.45
HD 75289,b,Radial Velocity,3.509267,0.0482,0.034,0.467,28.94,1.21,2015-04-16,34.55
HIP 74890,b,Radial Velocity,822.3,2.1,0.07,2.4,91.49,1.74,2016-03-17,10.93
HD 73526,c,Radial Velocity,379.1,1.03,0.28,2.25,94.61,1.01,2014-05-14,10.57
HD 73526,b,Radial Velocity,188.9,0.65,0.29,2.25,94.61,1.01,2014-05-14,10.57
WASP-139,b,Transit,5.924262,0.062,0.,0.117,230.,0.92,2016-12-01,
WASP-5,b,Transit,1.6284279,0.0267,0.038,1.58,300.,0.96,2014-10-29,
HD 8535,b,Radial Velocity,1313.,2.45,0.15,0.68,52.5,1.13,2015-04-16,19.03
HD 109749,b,Radial Velocity,5.24,0.0635,0.01,0.28,59.03,1.2,2014-05-14,16.94
HD 102365,b,Radial Velocity,122.1,0.46,0.34,0.05,9.24,0.85,2014-05-14,108.23
HD 125595,b,Radial Velocity,9.6737,0.0809,0.,0.041,27.45,,2014-05-14,36.43
HD 162020,b,Radial Velocity,8.428198,0.074,0.277,14.4,31.26,0.75,2014-05-14,31.99
WASP-29,b,Transit,3.922727,0.0457,0.03,0.244,70.,0.82,2014-05-14,
HD 70642,b,Radial Velocity,2068.,3.23,0.034,1.97,28.76,1.05,2015-03-26,34.77
2MASS J12073346-3932539,b,Imaging,,46.,,4.,52.4,0.02,2014-05-14,
HD 6434,b,Radial Velocity,22.017,0.148,0.146,0.44,40.32,0.89,2015-11-19,24.8
2MASS J02192210-3925225,b,Imaging,,156.,,13.9,39.4,0.11,2015-05-14,
WASP-7,b,Transit,4.954658,0.0618,0.,0.96,140.,1.28,2014-05-14,
HD 147513,b,Radial Velocity,528.4,1.32,0.26,1.21,12.87,1.11,2014-05-14,77.69
WASP-121,b,Transit,1.2749255,0.02544,0.,1.183,270.,1.35,2016-06-23,
WASP-63,b,Transit,4.37809,0.0574,0.22,0.38,330.,1.32,2014-05-14,
HD 4113,b,Radial Velocity,526.62,1.28,0.903,1.56,44.05,0.99,2014-12-03,22.7
HIP 105854,b,Radial Velocity,184.2,0.81,0.02,8.2,84.6,2.1,2014-06-11,11.82
HD 114613,b,Radial Velocity,3827.,5.16,0.25,0.48,20.48,1.36,2014-05-14,48.83
HD 187085,b,Radial Velocity,986.,2.05,0.47,0.75,44.98,1.22,2014-07-23,22.23
HD 208487,b,Radial Velocity,130.08,0.524,0.24,0.52,44.,1.13,2014-11-05,
WASP-45,b,Transit,3.126096,0.0405,,1.002,,0.9,2015-12-03,
WASP-133,b,Transit,2.176423,0.0345,0.17,1.16,547.,1.16,2016-05-05,
GQ Lup,b,Imaging,,100.,,20.,139.,0.7,2014-05-14,
HD 117207,b,Radial Velocity,2597.,3.79,0.144,1.88,33.01,1.08,2014-05-14,30.29
HD 190647,b,Radial Velocity,1038.1,2.07,0.18,1.9,54.23,1.1,2014-05-14,18.44
HIP 67851,c,Radial Velocity,2131.8,3.82,0.17,5.98,,1.63,2015-06-04,15.16
HIP 67851,b,Radial Velocity,88.9,0.46,0.05,1.38,,1.63,2015-06-04,15.16
HD 114386,b,Radial Velocity,937.7,1.65,0.23,1.24,28.04,0.68,2014-05-14,35.66
WASP-8,b,Transit,8.158715,0.0801,0.31,2.244,87.,1.03,2014-05-14,
WASP-8,c,Radial Velocity,4323.,5.28,0.,9.45,87.,1.03,2014-05-14,
MOA 2009-BLG-266L,b,Microlensing,2774.,3.2,,0.033,3040.,0.56,2014-10-29,
GJ 667 C,f,Radial Velocity,39.026,0.156,0.03,0.008,6.8,0.33,2014-05-14,146.3
GJ 667 C,c,Radial Velocity,28.14,0.125,0.02,0.012,6.8,0.33,2014-05-14,146.3
GJ 667 C,b,Radial Velocity,7.2004,0.0505,0.13,0.018,6.8,0.33,2014-05-14,146.3
GJ 667 C,g,Radial Velocity,256.2,0.549,0.08,0.014,6.8,0.33,2014-05-14,146.3
GJ 667 C,e,Radial Velocity,62.24,0.213,0.02,0.008,6.8,0.33,2014-05-14,146.3
WASP-66,b,Transit,4.086052,0.0546,0.11,2.32,380.,1.3,2014-05-14,
MOA 2008-BLG-310L,b,Microlensing,,1.25,,0.23,6000.,0.67,2014-10-29,
OGLE 2008-BLG-92L,b,Microlensing,,18.,,0.18,8100.,0.71,2014-10-29,
OGLE 2005-BLG-71L,b,Microlensing,,3.6,,3.8,3200.,0.46,2014-10-29,
HD 16417,b,Radial Velocity,17.24,0.14,0.2,0.0696,25.54,1.2,2014-05-14,39.16
HD 73267,b,Radial Velocity,1260.,2.198,0.256,3.06,54.91,0.89,2015-03-26,18.21
WASP-98,b,Transit,2.96264036,0.03762,,0.922,,0.81,2016-08-04,
HD 131399 A,b,Imaging,200887.5,82.,0.35,4.,98.,1.82,2016-07-18,
WASP-94 A,b,Transit,3.9501907,0.055,0.13,0.452,180.,1.45,2014-10-03,
WASP-94 B,b,Radial Velocity,2.00839,0.0335,0.,0.618,180.,1.24,2014-10-03,
MOA 2009-BLG-387L,b,Microlensing,1982.,1.82,,2.56,5690.,0.19,2015-06-04,
HD 50499,b,Radial Velocity,2482.7,3.86,0.23,1.71,47.26,1.24,2014-12-17,21.16
HD 20868,b,Radial Velocity,380.85,0.947,0.75,1.99,48.9,0.78,2014-11-05,20.42
HD 93083,b,Radial Velocity,143.58,0.477,0.14,0.37,28.9,0.7,2014-05-14,34.6
HD 147873,b,Radial Velocity,116.596,0.522,0.207,5.14,104.93,1.38,2016-11-10,9.53
HD 147873,c,Radial Velocity,491.54,1.36,0.23,2.3,104.93,1.38,2016-11-10,9.53
HD 181720,b,Radial Velocity,956.,1.78,0.26,0.37,55.93,0.92,2014-07-23,17.88
WASP-123,b,Transit,2.9776412,0.04263,0.,0.899,214.,1.17,2016-06-03,
WASP-64,b,Transit,1.5732918,0.02648,0.,1.271,350.,1.,2014-05-14,
GJ 433,b,Radial Velocity,7.3709,0.058,0.08,0.018,9.04,0.48,2014-05-14,110.65
HD 47536,b,Radial Velocity,712.13,1.93,0.2,7.32,121.36,0.91,2015-03-26,8.24
OGLE 2007-BLG-368L,b,Microlensing,,3.3,,0.06,5900.,0.64,2014-11-05,
WASP-15,b,Transit,3.7520656,0.0499,0.,0.542,,1.18,2014-05-14,
HD 114729,b,Radial Velocity,1114.,2.11,0.167,0.95,35.,1.,2014-05-14,28.57
HD 205739,b,Radial Velocity,279.8,0.896,0.27,1.37,90.33,1.22,2014-09-25,11.07
OGLE 2013-BLG-102L,b,Microlensing,,0.8,,12.569,3040.,0.1,2015-01-29,
HD 45364,b,Radial Velocity,226.93,0.6813,0.1684,0.1872,32.58,,2014-05-14,30.69
HD 45364,c,Radial Velocity,342.85,0.8972,0.0974,0.6579,32.58,,2014-05-14,30.69
MOA 2010-BLG-477L,b,Microlensing,,2.,,1.5,2300.,0.67,2014-10-29,
GJ 3341,b,Radial Velocity,14.207,0.089,0.31,0.0208,,0.47,2014-12-03,43.18
MOA 2011-BLG-262L,b,Microlensing,,0.84,,0.05663,7000.,0.12,2015-06-04,
GJ 3634,b,Radial Velocity,2.64561,0.0287,0.08,0.026,19.8,0.45,2014-08-21,50.55
OGLE 2008-BLG-355L,b,Microlensing,,1.7,,4.6,6800.,0.37,2014-06-11,
WASP-124,b,Transit,3.37265,0.0449,0.017,0.6,433.,1.07,2016-05-05,
OGLE 2005-BLG-169L,b,Microlensing,,3.5,,0.04436,4100.,0.69,2015-11-19,
MOA 2010-BLG-328L,b,Microlensing,,0.92,,0.02895,810.,0.11,2015-06-04,
WASP-41,b,Transit,3.052404,0.04,0.026,0.94,180.,0.93,2015-10-15,
WASP-41,c,Radial Velocity,421.,1.07,0.294,3.18,180.,0.93,2015-10-15,
WASP-79,b,Transit,3.6623866,0.0535,0.,0.9,240.,1.38,2014-05-14,
WASP-131,b,Transit,5.322023,0.0607,0.,0.27,250.,1.06,2016-12-01,
OGLE 2014-BLG-0676L,b,Microlensing,,4.4,,3.09,2220.,0.62,2016-12-21,
OGLE 2012-BLG-406L,b,Microlensing,,3.45,,2.73,4970.,0.44,2014-05-14,
OGLE 2005-BLG-390L,b,Microlensing,3285.,2.6,,0.017,6600.,0.22,2014-10-29,
MOA 2008-BLG-379L,b,Microlensing,,3.3,,4.1,3300.,0.56,2014-10-29,
WASP-72,b,Transit,2.2167421,0.03708,0.,1.5461,340.,1.39,2014-05-14,
OGLE 2006-BLG-109L,b,Microlensing,1788.5,2.3,,0.73,1510.,0.51,2014-11-05,
OGLE 2006-BLG-109L,c,Microlensing,4927.5,4.5,0.15,0.27,1510.,0.51,2014-11-05,
HD 73256,b,Radial Velocity,2.54858,0.037,0.029,1.87,36.52,1.05,2015-03-26,27.38
HATS-16,b,Transit,2.686502,0.03744,0.,3.27,774.,0.97,2016-06-23,
HD 165155,b,Radial Velocity,434.5,1.13,0.2,2.89,64.98,1.02,2016-11-10,15.39
HD 43197,b,Radial Velocity,327.8,0.92,0.83,0.6,56.3,0.96,2014-12-03,17.76
OGLE-TR-10,b,Transit,3.101278,0.0434,,0.62,,1.14,2014-05-14,
OGLE 2013-BLG-341L B,b,Microlensing,,0.883,,0.0073,1161.,0.15,2014-07-09,
OGLE 2012-BLG-0724L,b,Microlensing,,1.6,,0.47,6700.,0.29,2016-04-28,
HD 169830,c,Radial Velocity,2102.,3.6,0.33,4.04,36.32,1.4,2014-06-25,27.53
HD 169830,b,Radial Velocity,225.62,0.81,0.31,2.88,36.32,1.4,2014-06-25,27.53
MOA-bin-1L,b,Microlensing,,8.3,,3.7,5100.,0.75,2014-05-14,
OGLE-2012-BLG-0950L,b,Microlensing,,2.7,,0.11012,3000.,0.56,2016-11-03,
HD 90156,b,Radial Velocity,49.77,0.25,0.31,0.057,22.09,0.84,2014-05-14,45.26
Fomalhaut,b,Imaging,555530.,160.,0.87,,7.69,2.,2015-11-19,130.08
OGLE-TR-056,b,Transit,1.2119189,0.02383,,1.39,,1.23,2014-05-14,
MOA 2013-BLG-605L,b,Microlensing,,0.94,,0.01007,,0.03,2016-05-19,
MOA 2007-BLG-400L,b,Microlensing,,0.72,,0.83,5800.,0.3,2014-10-29,
MOA 2011-BLG-028L,b,Microlensing,,4.14,,0.09439,7380.,0.75,2016-03-24,
SWEEPS-11,b,Transit,1.796,0.03,,9.7,8500.,1.1,2014-05-14,
SWEEPS-4,b,Transit,4.2,0.055,,3.8,8500.,1.24,2014-05-14,
HATS-18,b,Transit,0.8378434,0.01761,0.166,1.98,645.,1.04,2016-10-27,
OGLE 2015-BLG-0966L,b,Microlensing,,2.1,,0.06607,2500.,0.38,2016-03-17,
OGLE-2014-BLG-1760,b,Microlensing,,1.75,,0.56,6860.,0.51,2016-11-10,
OGLE 2003-BLG-235L,b,Microlensing,,4.3,,2.6,5800.,0.63,2016-02-25,
HD 20782,b,Radial Velocity,597.065,1.397,0.956,1.43,35.5,1.02,2016-05-19,
OGLE 2015-BLG-0954L,b,Microlensing,,1.2,,3.9,600.,0.33,2016-07-18,
HATS-26,b,Transit,3.3023881,0.04735,0.245,0.65,907.,1.3,2016-06-09,
