,pl_hostname,pl_orbeccen,pl_orbper,SNR
492,PSR J1719-1438,  0.06,0.09071,0.001331
336,PSR J2322-2650,0.0017, 0.323,4.899e-05
156,WASP-18,0.0092,0.9415,2.654e-05
1465,KELT-1,0.0099, 1.218,1.106e-05
575,WASP-43,     0,0.8135,6.012e-06
157,WASP-19, 0.002,0.7888,1.734e-06
298,HATS-18, 0.166,0.8378,1.649e-06
1174,KELT-16,     0, 0.969,1.618e-06
1524,KELT-9,     0, 1.481,1.223e-06
623,WASP-77 A,     0,  1.36,1.119e-06
50,HATS-24, 0.242, 1.348,8.019e-07
